,机构名字,所属地区,电话,地址,所属省,所属市,所属区,所属地址,adcode,地址省,地址市,地址区,具体地址,adcode_address
88,北京市大兴区医院,北京市大兴区,010-60283303,北京市大兴区黄村西大街26号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,黄村西大街26号,110115
89,北京市大兴区中西医结合医院,北京市大兴区,010-67992043,北京市大兴区瀛海镇中兴南路3号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,瀛海镇中兴南路3号,110115
90,北京市第二医院,北京市西城区,010-66014835,北京市西城区油坊胡同36号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,油坊胡同36号,110102
91,北京市第六医院,北京市东城区,010-84034657,北京市东城区交道口北二条36号,北京市,市辖区,东城区,,110101,北京市,市辖区,东城区,交道口北二条36号,110101
92,北京市东城区疾病预防控制中心,北京市东城区,010-64040807,北京市东城区北兵马司胡同5号,北京市,市辖区,东城区,,110101,北京市,市辖区,东城区,北兵马司胡同5号,110101
93,北京市房山区第一医院,北京市房山区,010-69310567,北京市房山区房窑路6号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,房窑路6号,110111
94,北京市房山区疾病预防控制中心,北京市房山区,010-61355907,北京市房山区良乡镇白杨东路1号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,良乡镇白杨东路1号,110111
95,北京市房山区精神卫生保健院,北京市房山区,010-69302045,北京市房山区周口店大街28号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,周口店大街28号,110111
96,北京市房山区良乡医院,北京市房山区,010-81356295,北京市房山区拱辰街道拱辰大街45号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,拱辰街道拱辰大街45号,110111
97,北京市房山区中医医院,北京市房山区,010-89322812,北京市房山区城关街道保健路4号,北京市,市辖区,房山区,,110111,北京市,市辖区,房山区,城关街道保健路4号,110111
98,北京市丰台区妇幼保健计划生育服务中心（北京市丰台区妇幼保健院）,北京市丰台区,010-83917266,北京市丰台区右安门外开阳里三街1号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,右安门外开阳里三街1号,110106
99,北京市丰台区疾病预防控制中心,北京市丰台区,010-63811956,北京市丰台区中关村看丹健康科技产业园,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,中关村看丹健康科技产业园,110106
100,北京市丰台区铁营医院,北京市丰台区,010-67646101,北京市丰台区永外东铁营横七条1号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,永外东铁营横七条1号,110106
101,北京市丰台右安门医院,北京市丰台区,010-83322548,北京市丰台区右外大街199号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,右外大街199号,110106
102,北京市丰台中西医结合医院,北京市丰台区,010-83862760,北京市丰台区长辛店东山坡三里甲60号,北京市,市辖区,丰台区,,110106,北京市,市辖区,丰台区,长辛店东山坡三里甲60号,110106
103,北京市肛肠医院（北京市二龙路医院）,北京市西城区,010-57763088,北京市西城区德外大街16号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,德外大街16号,110102
104,北京市海淀区疾病预防控制中心,北京市海淀区,010-62879811,北京市海淀区西北旺二街五号卫生大厦,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,西北旺二街五号卫生大厦,110108
105,北京市海淀区精神卫生防治院,北京市海淀区,010-62458242,北京市海淀区苏家坨镇西小营村温阳路东侧,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,苏家坨镇西小营村温阳路东侧,110108
106,北京市海淀医院,北京市海淀区,010-82693163,北京市海淀区中关村大街29号,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,中关村大街29号,110108
107,北京市红十字会急诊抢救中心,北京市朝阳区,010-82891902,北京市朝阳区清河东路1号,北京市,市辖区,朝阳区,,110105,北京市,市辖区,朝阳区,清河东路1号,110105
108,北京市化工职业病防治院,北京市海淀区,010-62593085,北京市海淀区闵庄路瀚河园180号,北京市,市辖区,海淀区,,110108,北京市,市辖区,海淀区,闵庄路瀚河园180号,110108
109,北京市怀柔安佳医院,北京市怀柔区,010-61671718,北京市怀柔区怀北火车站一区23号,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,怀北火车站一区23号,110116
110,北京市怀柔区妇幼保健院,北京市怀柔区,010-89691353,北京市怀柔区迎宾北路38号,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,迎宾北路38号,110116
111,北京市怀柔区疾病预防控制中心,北京市怀柔区,010-69623215,北京市怀柔区怀柔镇富乐北里23号,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,怀柔镇富乐北里23号,110116
112,北京市怀柔区中医医院,北京市怀柔区,010-60620099,北京市怀柔区龙山街道青春路1号,北京市,市辖区,怀柔区,,110116,北京市,市辖区,怀柔区,龙山街道青春路1号,110116
113,北京市疾病预防控制中心,北京市东城区,010-64212461,北京市东城区和平里中街16号,北京市,市辖区,东城区,,110101,北京市,市辖区,东城区,和平里中街16号,110101
114,北京市监狱管理局清河分局医院,天津市宁河区,010-53867976,天津市宁河区京山线茶淀站清河农场,天津市,市辖区,宁河区,,120117,天津市,市辖区,宁河区,京山线茶淀站清河农场,120117
115,北京市健宫医院,北京市西城区,010-83521777,北京市西城区菜市口南大街儒福里6号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,菜市口南大街儒福里6号,110102
116,北京市门头沟区妇幼保健院,北京市门头沟区,010-69820510,北京市门头沟区石龙北路10号,北京市,市辖区,门头沟区,,110109,北京市,市辖区,门头沟区,石龙北路10号,110109
117,北京市门头沟区疾病预防控制中心,北京市门头沟区,010-69843156,北京市门头沟区城子东街甲40号,北京市,市辖区,门头沟区,,110109,北京市,市辖区,门头沟区,城子东街甲40号,110109
118,北京市门头沟区龙泉医院,北京市门头沟区,010-69858307,北京市门头沟区门头沟路42号,北京市,市辖区,门头沟区,,110109,北京市,市辖区,门头沟区,门头沟路42号,110109
119,北京市门头沟区医院,北京市门头沟区,010-69848750,北京市门头沟区河滩桥东街10号,北京市,市辖区,门头沟区,,110109,北京市,市辖区,门头沟区,河滩桥东街10号,110109
120,北京市密云区疾病预防控制中心,北京市密云区,010-69044269,北京市密云区密云镇新西路50号,北京市,市辖区,密云区,,110118,北京市,市辖区,密云区,密云镇新西路50号,110118
121,北京市密云区医院,北京市密云区,010-69087704,北京市密云区阳光街383号院,北京市,市辖区,密云区,,110118,北京市,市辖区,密云区,阳光街383号院,110118
122,北京市密云区中医医院,北京市密云区,010-61098749,北京市密云区新中街39号,北京市,市辖区,密云区,,110118,北京市,市辖区,密云区,新中街39号,110118
123,北京市平谷区妇幼保健院,北京市平谷区,010-69962400,北京市平谷区平谷镇南岔子街49号,北京市,市辖区,平谷区,,110117,北京市,市辖区,平谷区,平谷镇南岔子街49号,110117
124,北京市平谷区疾病预防控制中心,北京市平谷区,010-69966031,北京市平谷区府前街25号,北京市,市辖区,平谷区,,110117,北京市,市辖区,平谷区,府前街25号,110117
125,北京市平谷区医院,北京市平谷区,010-89992105,北京市平谷区新平北路59号,北京市,市辖区,平谷区,,110117,北京市,市辖区,平谷区,新平北路59号,110117
126,北京市平谷区中医医院,北京市平谷区,010-69970529,北京市平谷区平翔路6号,北京市,市辖区,平谷区,,110117,北京市,市辖区,平谷区,平翔路6号,110117
127,北京市平谷岳协医院,北京市平谷区,010-89999315,北京市平谷区府前西街13号,北京市,市辖区,平谷区,,110117,北京市,市辖区,平谷区,府前西街13号,110117
128,北京市普仁医院,北京市东城区,010-87928255,北京市东城区崇外大街100号,北京市,市辖区,东城区,,110101,北京市,市辖区,东城区,崇外大街100号,110101
129,北京市仁和医院,北京市大兴区,13911601718,北京市大兴区兴丰大街一号,北京市,市辖区,大兴区,,110115,北京市,市辖区,大兴区,兴丰大街一号,110115
130,北京市石景山区疾病预防控制中心,北京市石景山区,010-68661748,北京市石景山区体育场南路6号院2号楼,北京市,市辖区,石景山区,,110107,北京市,市辖区,石景山区,体育场南路6号院2号楼,110107
131,北京市石景山医院,北京市石景山区,010-88429995,北京市石景山区石景山路24号,北京市,市辖区,石景山区,,110107,北京市,市辖区,石景山区,石景山路24号,110107
132,北京市顺义区妇幼保健院,北京市顺义区,010-89449200,北京市顺义区顺康路1号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,顺康路1号,110113
133,北京市顺义区疾病预防控制中心,北京市顺义区,010-69443268,北京市顺义区光明南街1号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,光明南街1号,110113
134,北京市顺义区空港医院,北京市顺义区,010-80493590,北京市顺义区后沙峪镇双裕街49号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,后沙峪镇双裕街49号,110113
135,北京市顺义区医院,北京市顺义区,010-69423220-3099,北京市顺义区光明南街3号,北京市,市辖区,顺义区,,110113,北京市,市辖区,顺义区,光明南街3号,110113
136,北京市通州区妇幼保健院,北京市通州区,010-81583000,北京市通州区玉桥中路124号,北京市,市辖区,通州区,,110112,北京市,市辖区,通州区,玉桥中路124号,110112
137,北京市通州区疾病预防控制中心,北京市通州区,010-69547952,北京市通州区潞河中学北街1号,北京市,市辖区,通州区,,110112,北京市,市辖区,通州区,潞河中学北街1号,110112
138,北京市通州区中西医结合医院,北京市通州区,010-69545228,北京市通州区车站路89号,北京市,市辖区,通州区,,110112,北京市,市辖区,通州区,车站路89号,110112
139,北京市西城区疾病预防控制中心,北京市西城区,010-82061846,北京市西城区德外大街38号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,德外大街38号,110102
140,北京市西城区平安医院,北京市西城区,010-66250498,北京市西城区赵登禹路169号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,赵登禹路169号,110102
141,北京市西城区展览路医院,北京市西城区,010-88378108,北京市西城区西直门外大街桃柳园西巷16号,北京市,市辖区,西城区,,110102,北京市,市辖区,西城区,西直门外大街桃柳园西巷16号,110102
142,北京市延庆区妇幼保健院,北京市延庆区,010-69101275,北京市延庆区庆园街8号,北京市,市辖区,延庆区,,110119,北京市,市辖区,延庆区,庆园街8号,110119
143,北京市延庆区疾病预防控制中心,北京市延庆区,010-69187731,北京市延庆区延庆镇百泉路39号,北京市,市辖区,延庆区,,110119,北京市,市辖区,延庆区,延庆镇百泉路39号,110119
