"","country","X2","X3","X4","Units","year2018","year2019","X8"
"39","ANGUILLA",NA,"Travel",NA,"US$ Millions","11.8","..",NA
"40","ANGUILLA",NA,"Passenger transport",NA,"US$ Millions","2.7","..",NA
"41","ANTIGUA AND BARBUDA","Departures",NA,NA,NA,NA,NA,NA
"42","ANTIGUA AND BARBUDA",NA,"Total departures",NA,"Thousands","..","..",NA
"43","ANTIGUA AND BARBUDA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"44","ANTIGUA AND BARBUDA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"45","ANTIGUA AND BARBUDA","Tourism expenditure in other countries",NA,NA,"US$ Millions","113","..",NA
"46","ANTIGUA AND BARBUDA",NA,"Travel",NA,"US$ Millions","88","..",NA
"47","ANTIGUA AND BARBUDA",NA,"Passenger transport",NA,"US$ Millions","25","..",NA
"48","ARGENTINA","Departures",NA,NA,NA,NA,NA,"1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2018 series.
2/  Starting 2004, as a result of the importance of the ""Survey on International Tourism"", the estimates of the series of the ""Travel"" item of the Balance of Payments were modified. For this reason, the data are not rigorously comparable with those of previous years."
"49","ARGENTINA",NA,"Total departures",NA,"Thousands","18411","..",NA
"50","ARGENTINA",NA,NA,"Overnights visitors (tourists)","Thousands","11130","..",NA
"51","ARGENTINA",NA,NA,"Same-day visitors (excursionists)","Thousands","7281","..",NA
"52","ARGENTINA","Tourism expenditure in other countries",NA,NA,"US$ Millions","13084","9826",NA
"53","ARGENTINA",NA,"Travel",NA,"US$ Millions","10670","7850",NA
"54","ARGENTINA",NA,"Passenger transport",NA,"US$ Millions","2414","1976",NA
"55","ARMENIA","Departures",NA,NA,NA,NA,NA,NA
"56","ARMENIA",NA,"Total departures",NA,"Thousands","..","..",NA
"57","ARMENIA",NA,NA,"Overnights visitors (tourists)","Thousands","1623","..",NA
"58","ARMENIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"59","ARMENIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1335","1543",NA
"60","ARMENIA",NA,"Travel",NA,"US$ Millions","1282","1489",NA
"61","ARMENIA",NA,"Passenger transport",NA,"US$ Millions","53","54",NA
"62","ARUBA","Departures",NA,NA,NA,NA,NA,NA
"63","ARUBA",NA,"Total departures",NA,"Thousands","..","..",NA
"64","ARUBA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"65","ARUBA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"66","ARUBA","Tourism expenditure in other countries",NA,NA,"US$ Millions","384","402",NA
"67","ARUBA",NA,"Travel",NA,"US$ Millions","384","402",NA
"68","ARUBA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"69","AUSTRALIA","Departures",NA,NA,NA,NA,NA,NA
"70","AUSTRALIA",NA,"Total departures",NA,"Thousands","11403","..",NA
"71","AUSTRALIA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"72","AUSTRALIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"73","AUSTRALIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","42439","41430",NA
"74","AUSTRALIA",NA,"Travel",NA,"US$ Millions","36953","36052",NA
"75","AUSTRALIA",NA,"Passenger transport",NA,"US$ Millions","5486","5378",NA
"76","AUSTRIA","Departures",NA,NA,NA,NA,NA,"1/ Holiday and business trips with at least one overnight stay, including stays at friends and relatives and second homes."
"77","AUSTRIA",NA,"Total departures",NA,"Thousands","..","..",NA
"78","AUSTRIA",NA,NA,"Overnights visitors (tourists)","Thousands","11883","..",NA
"79","AUSTRIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"80","AUSTRIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","14256","13841",NA
"81","AUSTRIA",NA,"Travel",NA,"US$ Millions","11940","11512",NA
"82","AUSTRIA",NA,"Passenger transport",NA,"US$ Millions","2316","2329",NA
"83","AZERBAIJAN","Departures",NA,NA,NA,NA,NA,NA
"84","AZERBAIJAN",NA,"Total departures",NA,"Thousands","4908","..",NA
"85","AZERBAIJAN",NA,NA,"Overnights visitors (tourists)","Thousands","3919","..",NA
"86","AZERBAIJAN",NA,NA,"Same-day visitors (excursionists)","Thousands","989","..",NA
"87","AZERBAIJAN","Tourism expenditure in other countries",NA,NA,"US$ Millions","2453","1839",NA
"88","AZERBAIJAN",NA,"Travel",NA,"US$ Millions","2284","1702",NA
"89","AZERBAIJAN",NA,"Passenger transport",NA,"US$ Millions","169","137",NA
"90","BAHAMAS","Departures",NA,NA,NA,NA,NA,NA
"91","BAHAMAS",NA,"Total departures",NA,"Thousands","..","..",NA
"92","BAHAMAS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"93","BAHAMAS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"94","BAHAMAS","Tourism expenditure in other countries",NA,NA,"US$ Millions","536","514",NA
"95","BAHAMAS",NA,"Travel",NA,"US$ Millions","349","335",NA
"96","BAHAMAS",NA,"Passenger transport",NA,"US$ Millions","187","179",NA
"97","BAHRAIN","Departures",NA,NA,NA,NA,NA,"1/ Source: Outbound tourism survey."
"98","BAHRAIN",NA,"Total departures",NA,"Thousands","2868","..",NA
"99","BAHRAIN",NA,NA,"Overnights visitors (tourists)","Thousands","2539","..",NA
"100","BAHRAIN",NA,NA,"Same-day visitors (excursionists)","Thousands","329","..",NA
"101","BAHRAIN","Tourism expenditure in other countries",NA,NA,"US$ Millions","2134","..",NA
"102","BAHRAIN",NA,"Travel",NA,"US$ Millions","2134","..",NA
"103","BAHRAIN",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"104","BANGLADESH","Departures",NA,NA,NA,NA,NA,NA
"105","BANGLADESH",NA,"Total departures",NA,"Thousands","..","..",NA
"106","BANGLADESH",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"107","BANGLADESH",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"108","BANGLADESH","Tourism expenditure in other countries",NA,NA,"US$ Millions","1207","1388",NA
"109","BANGLADESH",NA,"Travel",NA,"US$ Millions","755","919",NA
"110","BANGLADESH",NA,"Passenger transport",NA,"US$ Millions","452","469",NA
"111","BARBADOS","Departures",NA,NA,NA,NA,NA,NA
"112","BARBADOS",NA,"Total departures",NA,"Thousands","..","..",NA
"113","BARBADOS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"114","BARBADOS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"115","BARBADOS","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"116","BARBADOS",NA,"Travel",NA,"US$ Millions","..","..",NA
"117","BARBADOS",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"118","BELARUS","Departures",NA,NA,NA,NA,NA,"1/ Package tour."
"119","BELARUS",NA,"Total departures",NA,"Thousands","9326","9221",NA
"120","BELARUS",NA,NA,"Overnights visitors (tourists)","Thousands","836","963",NA
"121","BELARUS",NA,NA,"Same-day visitors (excursionists)","Thousands","15","20",NA
"122","BELARUS","Tourism expenditure in other countries",NA,NA,"US$ Millions","1170","1237",NA
"123","BELARUS",NA,"Travel",NA,"US$ Millions","1069","1135",NA
"124","BELARUS",NA,"Passenger transport",NA,"US$ Millions","101","102",NA
"125","BELGIUM","Departures",NA,NA,NA,NA,NA,"1/ 1995-2000: country data."
"126","BELGIUM",NA,"Total departures",NA,"Thousands","..","..",NA
"127","BELGIUM",NA,NA,"Overnights visitors (tourists)","Thousands","13098","..",NA
"128","BELGIUM",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"129","BELGIUM","Tourism expenditure in other countries",NA,NA,"US$ Millions","20830","20819","1/ 1995-2000: country data."
"130","BELGIUM",NA,"Travel",NA,"US$ Millions","18481","18611",NA
"131","BELGIUM",NA,"Passenger transport",NA,"US$ Millions","2349","2208",NA
"132","BELIZE","Departures",NA,NA,NA,NA,NA,NA
"133","BELIZE",NA,"Total departures",NA,"Thousands","..","..",NA
"134","BELIZE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"135","BELIZE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"136","BELIZE","Tourism expenditure in other countries",NA,NA,"US$ Millions","50","46",NA
"137","BELIZE",NA,"Travel",NA,"US$ Millions","48","44",NA
"138","BELIZE",NA,"Passenger transport",NA,"US$ Millions","2","2",NA
"139","BENIN","Departures",NA,NA,NA,NA,NA,NA
"140","BENIN",NA,"Total departures",NA,"Thousands","..","..",NA
"141","BENIN",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"142","BENIN",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"143","BENIN","Tourism expenditure in other countries",NA,NA,"US$ Millions","76","..",NA
"144","BENIN",NA,"Travel",NA,"US$ Millions","31","..",NA
"145","BENIN",NA,"Passenger transport",NA,"US$ Millions","45","..",NA
"146","BERMUDA","Departures",NA,NA,NA,NA,NA,"1/ 2002-2005: country data."
"147","BERMUDA",NA,"Total departures",NA,"Thousands","..","..",NA
"148","BERMUDA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"149","BERMUDA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"150","BERMUDA","Tourism expenditure in other countries",NA,NA,"US$ Millions","340","..","1/ 1995-2005: country data."
"151","BERMUDA",NA,"Travel",NA,"US$ Millions","260","..",NA
"152","BERMUDA",NA,"Passenger transport",NA,"US$ Millions","80","..",NA
"153","BHUTAN","Departures",NA,NA,NA,NA,NA,NA
"154","BHUTAN",NA,"Total departures",NA,"Thousands","..","72",NA
"155","BHUTAN",NA,NA,"Overnights visitors (tourists)","Thousands","..","41",NA
"156","BHUTAN",NA,NA,"Same-day visitors (excursionists)","Thousands","..","31",NA
"157","BHUTAN","Tourism expenditure in other countries",NA,NA,"US$ Millions","79","67",NA
"158","BHUTAN",NA,"Travel",NA,"US$ Millions","78","67",NA
"159","BHUTAN",NA,"Passenger transport",NA,"US$ Millions","1","..",NA
"160","BOLIVIA, PLURINATIONAL STATE OF","Departures",NA,NA,NA,NA,NA,NA
"161","BOLIVIA, PLURINATIONAL STATE OF",NA,"Total departures",NA,"Thousands","..","..",NA
"162","BOLIVIA, PLURINATIONAL STATE OF",NA,NA,"Overnights visitors (tourists)","Thousands","1060","..",NA
"163","BOLIVIA, PLURINATIONAL STATE OF",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"164","BOLIVIA, PLURINATIONAL STATE OF","Tourism expenditure in other countries",NA,NA,"US$ Millions","1009","1087",NA
"165","BOLIVIA, PLURINATIONAL STATE OF",NA,"Travel",NA,"US$ Millions","866","942",NA
"166","BOLIVIA, PLURINATIONAL STATE OF",NA,"Passenger transport",NA,"US$ Millions","143","145",NA
"167","BONAIRE","Departures",NA,NA,NA,NA,NA,"1/ Source: Central Bank of the Netherlands Antilles."
"168","BONAIRE",NA,"Total departures",NA,"Thousands","..","..",NA
"169","BONAIRE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"170","BONAIRE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"171","BONAIRE","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ Source: Central Bank of the Netherlands Antilles."
"172","BONAIRE",NA,"Travel",NA,"US$ Millions","..","..",NA
"173","BONAIRE",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"174","BOSNIA AND HERZEGOVINA","Departures",NA,NA,NA,NA,NA,NA
"175","BOSNIA AND HERZEGOVINA",NA,"Total departures",NA,"Thousands","..","..",NA
"176","BOSNIA AND HERZEGOVINA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"177","BOSNIA AND HERZEGOVINA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"178","BOSNIA AND HERZEGOVINA","Tourism expenditure in other countries",NA,NA,"US$ Millions","366","371",NA
"179","BOSNIA AND HERZEGOVINA",NA,"Travel",NA,"US$ Millions","261","265",NA
"180","BOSNIA AND HERZEGOVINA",NA,"Passenger transport",NA,"US$ Millions","105","106",NA
"181","BOTSWANA","Departures",NA,NA,NA,NA,NA,NA
"182","BOTSWANA",NA,"Total departures",NA,"Thousands","..","..",NA
"183","BOTSWANA",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"184","BOTSWANA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"185","BOTSWANA","Tourism expenditure in other countries",NA,NA,"US$ Millions","269.2","..",NA
"186","BOTSWANA",NA,"Travel",NA,"US$ Millions","269","..",NA
"187","BOTSWANA",NA,"Passenger transport",NA,"US$ Millions","0.2","..",NA
"188","BRAZIL","Departures",NA,NA,NA,NA,NA,NA
"189","BRAZIL",NA,"Total departures",NA,"Thousands","..","..",NA
"190","BRAZIL",NA,NA,"Overnights visitors (tourists)","Thousands","10628","..",NA
"191","BRAZIL",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"192","BRAZIL","Tourism expenditure in other countries",NA,NA,"US$ Millions","22229","21178",NA
"193","BRAZIL",NA,"Travel",NA,"US$ Millions","18266","17593",NA
"194","BRAZIL",NA,"Passenger transport",NA,"US$ Millions","3963","3585",NA
"195","BRITISH VIRGIN ISLANDS","Departures",NA,NA,NA,NA,NA,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"196","BRITISH VIRGIN ISLANDS",NA,"Total departures",NA,"Thousands","..","..",NA
"197","BRITISH VIRGIN ISLANDS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"198","BRITISH VIRGIN ISLANDS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"199","BRITISH VIRGIN ISLANDS","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"200","BRITISH VIRGIN ISLANDS",NA,"Travel",NA,"US$ Millions","..","..",NA
"201","BRITISH VIRGIN ISLANDS",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"202","BRUNEI DARUSSALAM","Departures",NA,NA,NA,NA,NA,NA
"203","BRUNEI DARUSSALAM",NA,"Total departures",NA,"Thousands","..","..",NA
"204","BRUNEI DARUSSALAM",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"205","BRUNEI DARUSSALAM",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"206","BRUNEI DARUSSALAM","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"207","BRUNEI DARUSSALAM",NA,"Travel",NA,"US$ Millions","585","613",NA
"208","BRUNEI DARUSSALAM",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"209","BULGARIA","Departures",NA,NA,NA,NA,NA,NA
"210","BULGARIA",NA,"Total departures",NA,"Thousands","..","..",NA
"211","BULGARIA",NA,NA,"Overnights visitors (tourists)","Thousands","6699","7007",NA
"212","BULGARIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"213","BULGARIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","2247","2196",NA
"214","BULGARIA",NA,"Travel",NA,"US$ Millions","1868","1825",NA
"215","BULGARIA",NA,"Passenger transport",NA,"US$ Millions","379","371",NA
"216","BURKINA FASO","Departures",NA,NA,NA,NA,NA,NA
"217","BURKINA FASO",NA,"Total departures",NA,"Thousands","..","..",NA
"218","BURKINA FASO",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"219","BURKINA FASO",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"220","BURKINA FASO","Tourism expenditure in other countries",NA,NA,"US$ Millions","191","..",NA
"221","BURKINA FASO",NA,"Travel",NA,"US$ Millions","119","..",NA
"222","BURKINA FASO",NA,"Passenger transport",NA,"US$ Millions","72","..",NA
"223","BURUNDI","Departures",NA,NA,NA,NA,NA,NA
"224","BURUNDI",NA,"Total departures",NA,"Thousands","..","..",NA
"225","BURUNDI",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"226","BURUNDI",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"227","BURUNDI","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"228","BURUNDI",NA,"Travel",NA,"US$ Millions","23","..",NA
"229","BURUNDI",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"230","CABO VERDE","Departures",NA,NA,NA,NA,NA,NA
"231","CABO VERDE",NA,"Total departures",NA,"Thousands","..","..",NA
"232","CABO VERDE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"233","CABO VERDE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"234","CABO VERDE","Tourism expenditure in other countries",NA,NA,"US$ Millions","111","112",NA
"235","CABO VERDE",NA,"Travel",NA,"US$ Millions","85","85",NA
"236","CABO VERDE",NA,"Passenger transport",NA,"US$ Millions","26","27",NA
"237","CAMBODIA","Departures",NA,NA,NA,NA,NA,NA
"238","CAMBODIA",NA,"Total departures",NA,"Thousands","..","..",NA
"239","CAMBODIA",NA,NA,"Overnights visitors (tourists)","Thousands","1995","..",NA
"240","CAMBODIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"241","CAMBODIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","1079","1161",NA
"242","CAMBODIA",NA,"Travel",NA,"US$ Millions","862","910",NA
"243","CAMBODIA",NA,"Passenger transport",NA,"US$ Millions","217","251",NA
"244","CAMEROON","Departures",NA,NA,NA,NA,NA,NA
"245","CAMEROON",NA,"Total departures",NA,"Thousands","..","..",NA
"246","CAMEROON",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"247","CAMEROON",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"248","CAMEROON","Tourism expenditure in other countries",NA,NA,"US$ Millions","915","..",NA
"249","CAMEROON",NA,"Travel",NA,"US$ Millions","688","..",NA
"250","CAMEROON",NA,"Passenger transport",NA,"US$ Millions","227","..",NA
"251","CANADA","Departures",NA,NA,NA,NA,NA,"1/ Departures are estimated from arrivals of Canadian residents returning from abroad."
"252","CANADA",NA,"Total departures",NA,"Thousands","38069","..",NA
"253","CANADA",NA,NA,"Overnights visitors (tourists)","Thousands","26033","..",NA
"254","CANADA",NA,NA,"Same-day visitors (excursionists)","Thousands","12036","..",NA
"255","CANADA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"256","CANADA",NA,"Travel",NA,"US$ Millions","34455","35314",NA
"257","CANADA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"258","CAYMAN ISLANDS","Departures",NA,NA,NA,NA,NA,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"259","CAYMAN ISLANDS",NA,"Total departures",NA,"Thousands","..","..",NA
"260","CAYMAN ISLANDS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"261","CAYMAN ISLANDS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"262","CAYMAN ISLANDS","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
"263","CAYMAN ISLANDS",NA,"Travel",NA,"US$ Millions","..","..",NA
"264","CAYMAN ISLANDS",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"265","CENTRAL AFRICAN REPUBLIC","Departures",NA,NA,NA,NA,NA,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)"". 2003, 2004, 2009-2013: country data."
"266","CENTRAL AFRICAN REPUBLIC",NA,"Total departures",NA,"Thousands","..","..",NA
"267","CENTRAL AFRICAN REPUBLIC",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"268","CENTRAL AFRICAN REPUBLIC",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"269","CENTRAL AFRICAN REPUBLIC","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)"". 2003, 2004, 2009-2013: country data."
"270","CENTRAL AFRICAN REPUBLIC",NA,"Travel",NA,"US$ Millions","..","..",NA
"271","CENTRAL AFRICAN REPUBLIC",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"272","CHAD","Departures",NA,NA,NA,NA,NA,"1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
"273","CHAD",NA,"Total departures",NA,"Thousands","..","..",NA
"274","CHAD",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"275","CHAD",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"276","CHAD","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..","1/ Source: ""Banque des États de l'Afrique Centrale (B.E.A.C.)""."
"277","CHAD",NA,"Travel",NA,"US$ Millions","..","..",NA
"278","CHAD",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"279","CHILE","Departures",NA,NA,NA,NA,NA,"1/ In 2017, a ""base year"" was carried out that allowed updating the behavior patterns of the land passes. From 2012 to 2015 they were estimated. From the year 2019 the Outbound Tourism figures expand according to ""Departures of residents in Chile for tourist purposes"". Before this methodological change, the expansion was carried out according to ""Arrivals at destination of residents in Chile""."
"280","CHILE",NA,"Total departures",NA,"Thousands","4605","4091",NA
"281","CHILE",NA,NA,"Overnights visitors (tourists)","Thousands","3825","3346",NA
"282","CHILE",NA,NA,"Same-day visitors (excursionists)","Thousands","780","745",NA
"283","CHILE","Tourism expenditure in other countries",NA,NA,"US$ Millions","3124","3123",NA
"284","CHILE",NA,"Travel",NA,"US$ Millions","2363","2425",NA
"285","CHILE",NA,"Passenger transport",NA,"US$ Millions","761","698",NA
"286","CHINA","Departures",NA,NA,NA,NA,NA,"1/ Including air crew members and other servicemen."
"287","CHINA",NA,"Total departures",NA,"Thousands","..","..",NA
"288","CHINA",NA,NA,"Overnights visitors (tourists)","Thousands","149720","..",NA
"289","CHINA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"290","CHINA","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"291","CHINA",NA,"Travel",NA,"US$ Millions","277265","254621",NA
"292","CHINA",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"293","COLOMBIA","Departures",NA,NA,NA,NA,NA,NA
"294","COLOMBIA",NA,"Total departures",NA,"Thousands","..","..",NA
"295","COLOMBIA",NA,NA,"Overnights visitors (tourists)","Thousands","4368","..",NA
"296","COLOMBIA",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"297","COLOMBIA","Tourism expenditure in other countries",NA,NA,"US$ Millions","5623","5770",NA
"298","COLOMBIA",NA,"Travel",NA,"US$ Millions","4824","4992",NA
"299","COLOMBIA",NA,"Passenger transport",NA,"US$ Millions","799","778",NA
"300","COMOROS","Departures",NA,NA,NA,NA,NA,"1/ 1995, 2003, 2004: Banque centrale des Comores."
"301","COMOROS",NA,"Total departures",NA,"Thousands","..","..",NA
"302","COMOROS",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"303","COMOROS",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"304","COMOROS","Tourism expenditure in other countries",NA,NA,"US$ Millions","45","..","1/ 1995, 2003, 2004: Banque centrale des Comores."
"305","COMOROS",NA,"Travel",NA,"US$ Millions","25","..",NA
"306","COMOROS",NA,"Passenger transport",NA,"US$ Millions","20","..",NA
"307","CONGO","Departures",NA,NA,NA,NA,NA,NA
"308","CONGO",NA,"Total departures",NA,"Thousands","..","..",NA
"309","CONGO",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"310","CONGO",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"311","CONGO","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
"312","CONGO",NA,"Travel",NA,"US$ Millions","..","..",NA
"313","CONGO",NA,"Passenger transport",NA,"US$ Millions","..","..",NA
"314","CONGO, DEMOCRATIC REPUBLIC OF THE","Departures",NA,NA,NA,NA,NA,NA
"315","CONGO, DEMOCRATIC REPUBLIC OF THE",NA,"Total departures",NA,"Thousands","..","..",NA
"316","CONGO, DEMOCRATIC REPUBLIC OF THE",NA,NA,"Overnights visitors (tourists)","Thousands","..","..",NA
"317","CONGO, DEMOCRATIC REPUBLIC OF THE",NA,NA,"Same-day visitors (excursionists)","Thousands","..","..",NA
"318","CONGO, DEMOCRATIC REPUBLIC OF THE","Tourism expenditure in other countries",NA,NA,"US$ Millions","..","..",NA
